Word,Antonym Level 1,Antonym Level 2,Antonym Level 3,Antonym Level 4
wean,,,,
welcome,,,,
wheedle,,,,
whet,,,,
whip,,,,
whirlwind,,,,
wide,slender,skinny,,
wimp,,,,
windfall,,,,
winsome,gloomy,,,
wishful,gloomy,,,
wistful,,,,
witch,,,,
wither,,,,
withold,allow,concede,,
withstand,,succumb,,capitulate
wretched,admirable,commendable,,
yardstick,,,,
yen,,,,
yokel,,,,
zeitgeist,,,,
zenith,,,,nadir
zest,,,,insipidity
